"scenario","family","baseline_risk","mismatch","precision","delta","truth_class","mean_se_trial","mean_se_emulation","mean_se_delta","direction_agreement","interval_overlap","forced_aligned","forced_wrong","joint_aligned","joint_mismatched","joint_indeterminate","joint_wrong"
4,"probit","common","aligned","small",0.02,"aligned",0.0444432330182222,0.0135323149626168,0.0464577712483009,0.986734741588767,0.985549964949988,0.333166929308445,0.666833070691555,0,0.0379538787247582,0.962046121275242,0.0379538787247582
4,"probit","common","aligned","small",0.03,"aligned",0.0444432330182222,0.0135323149626168,0.0464577712483009,0.986734741588767,0.985549964949988,0.481557251359012,0.518442748640988,0,0.0219864591974583,0.978013540802542,0.0219864591974583
4,"probit","common","aligned","small",0.05,"aligned",0.0444432330182222,0.0135323149626168,0.0464577712483009,0.986734741588767,0.985549964949988,0.718182839610205,0.281817160389795,0,0.00650650351775672,0.993493496482243,0.00650650351775672
5,"logit","lower","observed_z_shift","small",0.01,"mismatched",0.0311729053669201,0.0111682623475213,0.0331131410904798,0.748647226619891,0.972868491441416,0.203405304565671,0.203405304565671,0,0.0893862052799228,0.910613794720077,0
5,"logit","lower","observed_z_shift","small",0.02,"aligned",0.0311729053669201,0.0111682623475213,0.0331131410904798,0.748647226619891,0.972868491441416,0.394531594780576,0.605468405219424,0,0.0484701998812603,0.95152980011874,0.0484701998812603
5,"logit","lower","observed_z_shift","small",0.03,"aligned",0.0311729053669201,0.0111682623475213,0.0331131410904798,0.748647226619891,0.972868491441416,0.563020760343712,0.436979239656288,0,0.0243936427023447,0.975606357297655,0.0243936427023447
5,"logit","lower","observed_z_shift","small",0.05,"aligned",0.0311729053669201,0.0111682623475213,0.0331131410904798,0.748647226619891,0.972868491441416,0.808865299285165,0.191134700714835,0,0.00488818075371333,0.995111819246287,0.00488818075371333
6,"probit","lower","observed_z_shift","small",0.01,"mismatched",0.0335048649916907,0.0120455970780537,0.035604387188635,0.877218273521134,0.948531318417613,0.152567162258708,0.152567162258708,0,0.148859668905911,0.851140331094089,0
6,"probit","lower","observed_z_shift","small",0.02,"mismatched",0.0335048649916907,0.0120455970780537,0.035604387188635,0.877218273521134,0.948531318417613,0.30205123308625,0.30205123308625,0,0.0922498222327713,0.907750177767229,0
6,"probit","lower","observed_z_shift","small",0.03,"mismatched",0.0335048649916907,0.0120455970780537,0.035604387188635,0.877218273521134,0.948531318417613,0.444670527524231,0.444670527524231,0,0.05363302779269,0.94636697220731,0
6,"probit","lower","observed_z_shift","small",0.05,"aligned",0.0335048649916907,0.0120455970780537,0.035604387188635,0.877218273521134,0.948531318417613,0.690933564386769,0.309066435613231,0,0.0148249224428072,0.985175077557193,0.0148249224428072
7,"logit","common","observed_z_shift","small",0.01,"mismatched",0.0421716056691876,0.0141290867069206,0.0444755597591434,0.949771368331577,0.951512005028652,0.128179741713586,0.128179741713586,0,0.149743178583944,0.850256821416056,0
7,"logit","common","observed_z_shift","small",0.02,"mismatched",0.0421716056691876,0.0141290867069206,0.0444755597591434,0.949771368331577,0.951512005028652,0.254151445882268,0.254151445882268,0,0.10242223160411,0.89757776839589,0
7,"logit","common","observed_z_shift","small",0.03,"mismatched",0.0421716056691876,0.0141290867069206,0.0444755597591434,0.949771368331577,0.951512005028652,0.375568793280007,0.375568793280007,0,0.0672938842032855,0.932706115796714,0
7,"logit","common","observed_z_shift","small",0.05,"aligned",0.0421716056691876,0.0141290867069206,0.0444755597591434,0.949771368331577,0.951512005028652,0.594696909359391,0.405303090640609,0,0.0256047674901458,0.974395232509854,0.0256047674901458
8,"probit","common","observed_z_shift","small",0.01,"mismatched",0.0439998227692932,0.01366877172297,0.046074067805479,0.998261036377196,0.87522586076411,0.0746592657705887,0.0746592657705887,0,0.288323091763204,0.711676908236796,0
8,"probit","common","observed_z_shift","small",0.02,"mismatched",0.0439998227692932,0.01366877172297,0.046074067805479,0.998261036377196,0.87522586076411,0.15157184906367,0.15157184906367,0,0.218758915976422,0.781241084023578,0
8,"probit","common","observed_z_shift","small",0.03,"mismatched",0.0439998227692932,0.01366877172297,0.046074067805479,0.998261036377196,0.87522586076411,0.232340981685855,0.232340981685855,0,0.160111392532227,0.839888607467773,0
8,"probit","common","observed_z_shift","small",0.05,"mismatched",0.0439998227692932,0.01366877172297,0.046074067805479,0.998261036377196,0.87522586076411,0.405947037768661,0.405947037768661,0,0.0765665658153899,0.92343343418461,0
9,"logit","lower","hidden_u_shift","small",0.01,"mismatched",0.0317621011001694,0.0109022244794884,0.0335810893941596,0.760445019914868,0.979190722667342,0.215387936563934,0.215387936563934,0,0.0724607211925078,0.927539278807492,0
