"formal_scenario","pair_id","method","own_target","psi","mapped_equal","exact_change","functional_discrepancy"
9,2,"validation-100",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,2,"validation-200",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,2,"site-exclusion-200",NA,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,NA
9,3,"historical-fixed",-0.0746640737110564,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00110099526473618
9,3,"historical-dl",-0.0746640737110564,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00110099526473618
9,3,"historical-q-gate",-0.0746640737110564,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00110099526473618
9,3,"commonq-fixed",-0.0747550143509319,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00119193590461172
9,3,"pm-hk",-0.0747550143509319,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00119193590461172
9,3,"equalq",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,3,"aggregate-gate",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,3,"validation-50",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,3,"validation-100",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,3,"validation-200",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,3,"site-exclusion-200",NA,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,NA
10,1,"historical-fixed",-0.0683179443613063,-0.0735630784463202,-0.0685630784463202,0.00499999999999999,0.00524513408501391
10,1,"historical-dl",-0.0683179443613063,-0.0735630784463202,-0.0685630784463202,0.00499999999999999,0.00524513408501391
10,1,"historical-q-gate",-0.0683179443613063,-0.0735630784463202,-0.0685630784463202,0.00499999999999999,0.00524513408501391
10,1,"commonq-fixed",-0.0685694085337395,-0.0735630784463202,-0.0685630784463202,0.00499999999999999,0.00499366991258071
10,1,"pm-hk",-0.0685694085337395,-0.0735630784463202,-0.0685630784463202,0.00499999999999999,0.00499366991258071
10,1,"equalq",-0.0685630784463202,-0.0735630784463202,-0.0685630784463202,0.00499999999999999,0.00499999999999999
10,1,"aggregate-gate",-0.0685630784463202,-0.0735630784463202,-0.0685630784463202,0.00499999999999999,0.00499999999999999
10,1,"validation-50",-0.0685630784463202,-0.0735630784463202,-0.0685630784463202,0.00499999999999999,0.00499999999999999
10,1,"validation-100",-0.0685630784463202,-0.0735630784463202,-0.0685630784463202,0.00499999999999999,0.00499999999999999
10,1,"validation-200",-0.0685630784463202,-0.0735630784463202,-0.0685630784463202,0.00499999999999999,0.00499999999999999
10,1,"site-exclusion-200",NA,-0.0735630784463202,-0.0685630784463202,0.00499999999999999,NA
