"scenario","n","event_target","K","effect","candidate","coverage","coverage_mcse","failure_probability","failure_mcse","truth_mcse","truth_draws","n_attempted","pass"
18,8000,140,4,"homogeneous","c55-h36",0.95,0.00487339717240448,0,0,4.24162811958981e-06,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c55-h36",0.9495,0.00489641450451246,0,0,1.956783265866e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c55-h36",0.9435,0.00516273909857936,0,0,1.12448673981116e-06,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c55-h36",0.951,0.00482695556225661,0,0,4.56330838670709e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c55-h36",0.9355,0.00549271107923947,0,0,2.15485540298045e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c55-h36",0.948,0.00496467521596328,0,0,7.4486423478385e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c55-h36",0.95,0.00487339717240448,0,0,4.24162811958981e-06,2000000,2000,TRUE
25,4000,35,4,"heterogeneous","c55-h36",0.9455,0.00507591124823908,0,0,2.39864471119684e-06,2000000,2000,TRUE
26,8000,35,4,"heterogeneous","c55-h36",0.9285,0.00576141258720464,0,0,1.19045465631652e-06,2000000,2000,FALSE
27,4000,70,4,"heterogeneous","c55-h36",0.9535,0.00470838348055891,0,0,4.54388088887491e-06,2000000,2000,TRUE
28,8000,70,4,"heterogeneous","c55-h36",0.9535,0.00470838348055891,0,0,2.31259670880313e-06,2000000,2000,TRUE
29,4000,140,4,"heterogeneous","c55-h36",0.954,0.00468422885862764,0,0,8.81897763929766e-06,2000000,2000,TRUE
30,8000,140,4,"heterogeneous","c55-h36",0.958,0.00448530935387962,0,0,4.79854731004072e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c55-h36",0.9495,0.00489641450451246,0,0,2.39864471119684e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c55-h36",0.9435,0.00516273909857936,0,0,1.19045465631652e-06,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c55-h36",0.95,0.00487339717240448,0,0,4.54388088887491e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c55-h36",0.9465,0.00503178646208283,0,0,2.31259670880313e-06,2000000,2000,TRUE
