"scenario","n","event_target","K","effect","method","selector","candidate","frequency","count","denominator"
24,8000,140,16,"homogeneous","naive","prognostic_high","c45-h48",0.007,14,2000
31,4000,35,16,"heterogeneous","naive","prognostic_high","c45-h48",0.029,58,2000
32,8000,35,16,"heterogeneous","naive","prognostic_high","c45-h48",0.0315,63,2000
33,4000,70,16,"heterogeneous","naive","prognostic_high","c45-h48",0.011,22,2000
34,8000,70,16,"heterogeneous","naive","prognostic_high","c45-h48",0.0145,29,2000
35,4000,140,16,"heterogeneous","naive","prognostic_high","c45-h48",0.005,10,2000
36,8000,140,16,"heterogeneous","naive","prognostic_high","c45-h48",0.0015,3,2000
7,4000,35,16,"null","split","prognostic_high","c45-h48",0.053,106,2000
8,8000,35,16,"null","split","prognostic_high","c45-h48",0.0405,81,2000
9,4000,70,16,"null","split","prognostic_high","c45-h48",0.028,56,2000
10,8000,70,16,"null","split","prognostic_high","c45-h48",0.0355,71,2000
11,4000,140,16,"null","split","prognostic_high","c45-h48",0.018,36,2000
12,8000,140,16,"null","split","prognostic_high","c45-h48",0.0175,35,2000
19,4000,35,16,"homogeneous","split","prognostic_high","c45-h48",0.052,104,2000
20,8000,35,16,"homogeneous","split","prognostic_high","c45-h48",0.0445,89,2000
21,4000,70,16,"homogeneous","split","prognostic_high","c45-h48",0.032,64,2000
22,8000,70,16,"homogeneous","split","prognostic_high","c45-h48",0.031,62,2000
23,4000,140,16,"homogeneous","split","prognostic_high","c45-h48",0.032,64,2000
