"truth_scenario","n","event_target","effect","candidate","c","h","score_key","lambda","expected_eligible","expected_treated","expected_control","expected_events","distance_from_70","population_r2","diagnostic_draws","scenario","K","analysis_scenario"
10,8000,70,"homogeneous","c50-h36",50,36,"higher",0.00030927963450513,NA,2732.00407505307,2871.68392494694,74.4612501209579,4.46125012095791,0.00317994275433998,2000000,22,16,43
10,8000,70,"homogeneous","c50-h48",50,48,"higher",0.00030927963450513,NA,2732.00407505307,2871.68392494694,98.9984580799442,28.9984580799442,0.00422404856678345,2000000,22,16,43
10,8000,70,"homogeneous","c50-h60",50,60,"higher",0.00030927963450513,NA,2732.00407505307,2871.68392494694,123.395749540291,53.3957495402915,0.00526030416990814,2000000,22,16,43
10,8000,70,"homogeneous","c55-h24",55,24,"higher",0.00030927963450513,NA,2115.24389527785,1885.29610472216,39.8967820618114,-30.1032179381886,0.00205483164523036,2000000,22,16,43
10,8000,70,"homogeneous","c55-h36",55,36,"higher",0.00030927963450513,NA,2115.24389527785,1885.29610472216,59.6590418427588,-10.3409581572412,0.00307039199398848,2000000,22,16,43
10,8000,70,"homogeneous","c55-h48",55,48,"higher",0.00030927963450513,NA,2115.24389527785,1885.29610472216,79.2984681870342,9.29846818703425,0.00407811714081146,2000000,22,16,43
10,8000,70,"homogeneous","c55-h60",55,60,"higher",0.00030927963450513,NA,2115.24389527785,1885.29610472216,98.8159910629944,28.8159910629944,0.00507805800082928,2000000,22,16,43
10,8000,70,"homogeneous","c60-h24",60,24,"higher",0.00030927963450513,NA,1383.51003334128,1015.68996665876,27.4623634194642,-42.5376365805358,0.00202296830697805,2000000,22,16,43
10,8000,70,"homogeneous","c60-h36",60,36,"higher",0.00030927963450513,NA,1383.51003334128,1015.68996665876,41.0505029128238,-28.9494970871762,0.00302240155660397,2000000,22,16,43
10,8000,70,"homogeneous","c60-h48",60,48,"higher",0.00030927963450513,NA,1383.51003334128,1015.68996665876,54.5443281920337,-15.4556718079663,0.00401386847050992,2000000,22,16,43
10,8000,70,"homogeneous","c60-h60",60,60,"higher",0.00030927963450513,NA,1383.51003334128,1015.68996665876,67.9446153224824,-2.05538467751762,0.00499741937061729,2000000,22,16,43
10,8000,70,"homogeneous","c45-h24",45,24,"reduced",0.00030927963450513,NA,3131.39499771763,3731.73300228231,55.9451586770353,-14.0548413229647,0.0012311525367588,2000000,22,16,44
10,8000,70,"homogeneous","c45-h36",45,36,"reduced",0.00030927963450513,NA,3131.39499771763,3731.73300228231,83.6907835544637,13.6907835544637,0.00183953894481582,2000000,22,16,44
10,8000,70,"homogeneous","c45-h48",45,48,"reduced",0.00030927963450513,NA,3131.39499771763,3731.73300228231,111.286506328634,41.2865063286337,0.00244317766395469,2000000,22,16,44
10,8000,70,"homogeneous","c45-h60",45,60,"reduced",0.00030927963450513,NA,3131.39499771763,3731.73300228231,138.733366424507,68.7333664245068,0.00304210254045176,2000000,22,16,44
10,8000,70,"homogeneous","c50-h24",50,24,"reduced",0.00030927963450513,NA,2732.00407505307,2871.68392494694,49.7831173663713,-20.2168826336287,0.00106083859243435,2000000,22,16,44
10,8000,70,"homogeneous","c50-h36",50,36,"reduced",0.00030927963450513,NA,2732.00407505307,2871.68392494694,74.4612501209579,4.46125012095791,0.00158464263807398,2000000,22,16,44
10,8000,70,"homogeneous","c50-h48",50,48,"reduced",0.00030927963450513,NA,2732.00407505307,2871.68392494694,98.9984580799442,28.9984580799442,0.00210408021776012,2000000,22,16,44
10,8000,70,"homogeneous","c50-h60",50,60,"reduced",0.00030927963450513,NA,2732.00407505307,2871.68392494694,123.395749540291,53.3957495402915,0.00261918379491932,2000000,22,16,44
